CNT,i1,i2,i3,i4,i5,i6
AUS,NA,4,4,4,4,4
AUS,NA,4,4,4,4,4
AUS,4,4,4,NA,4,4
AUS,4,4,4,NA,4,4
AUS,4,4,4,4,4,NA
AUS,4,NA,4,4,4,4
AUS,4,4,4,NA,4,4
AUS,4,4,NA,4,4,4
AUS,4,4,4,4,4,NA
AUS,4,4,4,4,4,NA
AUS,4,4,4,NA,4,4
AUS,NA,2,3,1,4,NA
AUS,4,2,1,NA,NA,3
AUS,4,3,2,1,NA,NA
AUS,3,2,1,NA,NA,4
AUS,1,2,3,NA,4,NA
AUS,NA,2,3,NA,2,3
AUS,3,2,3,NA,2,NA
AUS,4,NA,4,4,3,4
AUS,4,4,4,NA,3,4
AUS,4,4,NA,3,4,4
AUS,4,4,3,4,NA,4
AUS,4,4,4,NA,4,3
AUS,4,4,3,NA,4,4
AUS,3,4,4,NA,4,4
AUS,3,4,NA,4,4,4
AUS,3,2,2,NA,2,NA
AUS,4,4,4,2,4,NA
AUS,4,NA,2,4,4,4
AUS,4,NA,4,2,4,4
AUS,NA,4,3,4,4,3
AUS,NA,3,4,3,4,4
AUS,NA,4,3,4,3,4
AUS,4,3,4,NA,3,4
AUS,4,4,3,NA,4,3
AUS,4,4,3,3,NA,4
AUS,4,3,4,4,NA,3
AUS,4,4,4,NA,3,3
AUS,4,4,4,NA,3,3
AUS,4,4,NA,3,3,4
AUS,4,4,3,NA,3,4
AUS,4,4,3,NA,3,4
AUS,3,4,3,4,NA,4
AUS,3,3,4,NA,4,4
AUS,3,4,3,NA,4,4
AUS,3,4,3,NA,4,4
AUS,3,3,NA,4,4,4
AUS,3,1,NA,NA,3,1
AUS,1,4,4,4,4,NA
AUS,4,4,2,4,3,NA
AUS,4,NA,2,4,3,4
AUS,4,NA,2,4,3,4
AUS,4,3,4,4,2,NA
AUS,3,4,2,NA,4,4
AUS,3,4,NA,2,4,4
AUS,2,3,4,4,NA,4
AUS,NA,3,4,3,3,4
AUS,NA,3,3,3,4,4
AUS,NA,4,3,4,3,3
AUS,4,3,3,NA,3,4
AUS,4,3,3,NA,3,4
AUS,4,NA,3,3,3,4
AUS,4,4,NA,3,3,3
AUS,4,4,3,NA,3,3
AUS,4,3,3,NA,3,4
AUS,4,3,4,3,NA,3
AUS,4,3,3,NA,3,4
AUS,4,4,3,NA,3,3
AUS,3,4,3,3,NA,4
AUS,3,NA,3,4,4,3
